level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,4.115,s,,4.115,s,0
1,1,4.115,4.199,p,s,0.08399999999999963,p,0
2,2,4.199,4.436,s,p,0.2370000000000001,s,0
3,3,4.436,4.513999999999999,p,s,0.07800000000000029,p,0
4,4,4.513999999999999,8.350999999999999,s,p,3.836999999999999,s,0
5,5,8.350999999999999,8.424,p,s,0.0730000000000004,p,0
6,6,8.424,9.522,s,p,1.0980000000000008,s,0
7,7,9.522,9.667,p,s,0.14499999999999955,p,0
8,8,9.667,12.293,s,p,2.6259999999999994,s,0
9,9,12.293,12.636,p,s,0.343,p,0
10,10,12.636,14.049000000000001,s,p,1.4130000000000005,s,0
11,11,14.049000000000001,14.185,p,s,0.13600000000000098,p,0
12,12,14.185,16.488,s,p,2.302999999999999,s,0
13,13,16.488,16.570999999999998,p,s,0.08300000000000196,p,0
14,14,16.570999999999998,17.448,s,p,0.8769999999999989,s,0
15,15,17.448,17.500999999999998,p,s,0.05300000000000082,p,0
16,16,17.500999999999998,18.198,s,p,0.6969999999999992,s,0
17,17,18.198,18.336,p,s,0.13799999999999812,p,0
18,18,18.336,18.547,s,p,0.21100000000000207,s,0
19,19,18.547,18.605999999999998,p,s,0.05900000000000105,p,0
20,20,18.605999999999998,18.788,s,p,0.1819999999999986,p,1
21,21,18.788,18.958,p,s,0.16999999999999815,p,0
22,22,18.958,20.21,s,p,1.2520000000000024,s,0
23,23,20.21,20.289,p,s,0.07900000000000063,p,0
24,24,20.289,21.683000000000003,s,p,1.3939999999999984,s,0
25,25,21.683000000000003,21.885,p,s,0.20200000000000173,p,0
26,26,21.885,23.31,s,p,1.4249999999999972,s,0
27,27,23.31,23.541,p,s,0.23100000000000165,p,0
28,28,23.541,25.625,s,p,2.084,s,0
29,29,25.625,25.71,p,s,0.08500000000000085,p,0
30,30,25.71,26.643,s,p,0.9329999999999998,s,0
31,31,26.643,27.189,p,s,0.5459999999999994,p,0
36,36,27.189,30.432,s,p,3.2429999999999986,s,0
37,37,30.432,30.511,p,s,0.07900000000000063,p,0
38,38,30.511,32.342,s,p,1.8309999999999995,s,0
39,39,32.342,32.659,p,s,0.31700000000000017,p,0
42,42,32.659,34.34,s,p,1.6810000000000045,s,0
43,43,34.34,34.665,p,s,0.3249999999999957,p,0
44,44,34.665,36.545,s,p,1.8800000000000023,s,0
45,45,36.545,36.614000000000004,p,s,0.06899999999999551,p,0
46,46,36.614000000000004,37.025,s,p,0.41100000000000136,s,0
47,47,37.025,37.083,p,s,0.05799999999999982,p,0
48,48,37.083,37.911,s,p,0.828000000000003,s,0
49,49,37.911,38.633,p,s,0.7220000000000013,p,0
56,56,38.633,38.734,s,p,0.10099999999999908,p,1
57,57,38.734,38.8,p,s,0.0659999999999954,p,0
58,58,38.8,40.660997732426296,s,p,1.8609977324263056,s,0
